"Freq [MHz]","dB(S(Port0,Port0)) [] - ferrite_pos_z='0mm' Wb='400mm'","dB(S(Port0,Port0)) [] - ferrite_pos_z='0mm' Wb='1000mm'","dB(S(Port0,Port0)) [] - ferrite_pos_z='1mm' Wb='400mm'","dB(S(Port0,Port0)) [] - ferrite_pos_z='1mm' Wb='1000mm'"
30,-0.0175397743176836,-0.0639999336342285,-0.0916700465664941,-0.103585316989065
37.767762353825,-0.0283927507237174,-0.0769535387797802,-0.173843091030778,-0.115445879125477
47.5467957738334,-0.0506375793681622,-0.0966509843205175,-0.297306004608289,-0.182566599945014
59.8578694490664,-0.0829057131998704,-0.183996376137535,-0.203942361844224,-0.438915825294179
75.3565929452874,-0.103160552454231,-0.659470242018787,-0.187271775298084,-2.43365219537102
94.8683298050514,-0.0885688718294549,-7.98738635447852,-0.259428948385999,-2.95693391806019
119.432151166049,-0.112391324706736,-5.78207859456301,-0.482024050377188,-8.43723165111868
150.356170088182,-0.24684003032765,-15.1294099531907,-1.55195432003224,-11.8431669726784
189.287203344058,-1.39939597479125,-7.08176861430415,-1.8364039320045,-12.2056415763979
238.298470417284,-5.24643759500691,-5.91804740737722,-10.1695822690243,-8.75978804758158
300,-9.14451628549392,-6.68993743378196,-22.6677862902602,-14.588797129673
