"Freq [MHz]","dB(S(Port0,Port0)) [] - ferrite_pos_z='0mm' Wb='400mm'","dB(S(Port0,Port0)) [] - ferrite_pos_z='0mm' Wb='1000mm'","dB(S(Port0,Port0)) [] - ferrite_pos_z='1mm' Wb='400mm'","dB(S(Port0,Port0)) [] - ferrite_pos_z='1mm' Wb='1000mm'"
3,-0.00577055669187253,-0.162846833533462,-0.0114986345836713,-0.242518678725922
3.7767762353825,-0.0111226933469806,-0.289088295498802,-0.0202182177945701,-0.439022861366808
4.75467957738334,-0.0186507635175018,-0.554367335309704,-0.0361793468087223,-0.93247358143902
5.98578694490664,-0.0323574580107633,-1.19068328501173,-0.068565193969211,-2.28510560523826
7.53565929452874,-0.0385102150842089,-2.70886956046698,-0.0593185774030505,-5.67298006889821
9.48683298050514,-0.0639364517113276,-5.98679215063613,-0.106550451859763,-11.94421733862
11.9432151166049,-0.105593212773592,-10.996242711154,-0.188846098159227,-13.8896396269652
15.0356170088182,-0.178884336304289,-15.1953360628603,-0.353381654561614,-11.2197101454158
18.9287203344058,-0.330702106990945,-14.3087840032816,-0.798224113472523,-8.86548393726082
23.8298470417284,-0.665794358721941,-11.1952594165458,-2.11820766654541,-7.34216400517276
30,-1.60572556502816,-8.93062447831442,-6.08722263968841,-7.22945572076159
37.767762353825,-4.39819109096052,-7.85782459967063,-6.8805359328033,-9.15405979176558
47.5467957738334,-9.72816778635388,-7.80621173575206,-5.56898347284674,-13.6887327196701
59.8578694490664,-10.8930602179101,-8.54408887353249,-5.80556236865236,-13.9935856077822
75.3565929452874,-9.44949420362386,-9.86703327188098,-6.82085972549439,-11.7123861380214
94.8683298050514,-7.95221584058462,-11.5398097711288,-8.82286528984534,-12.4771300438914
119.432151166049,-6.8289836309839,-11.6140570174151,-16.9910018222838,-12.6401571074687
150.356170088182,-7.27434891662389,-10.6866398623379,-12.7365489148536,-12.9545827727489
189.287203344058,-11.0827005597451,-10.965039581438,-12.0687107145444,-13.2902067784778
238.298470417284,-13.6230569091068,-10.8047366307401,-14.9313299742732,-13.9453446976441
300,-10.6153844546529,-10.9051277962715,-15.9091792796383,-14.6837034961106
