"Freq [MHz]","RadiationEfficiency [] - ferrite_pos_z='0mm' Phi='0deg' Theta='0deg' Wb='400mm'","RadiationEfficiency [] - ferrite_pos_z='0mm' Phi='0deg' Theta='0deg' Wb='1000mm'","RadiationEfficiency [] - ferrite_pos_z='1mm' Phi='0deg' Theta='0deg' Wb='400mm'","RadiationEfficiency [] - ferrite_pos_z='1mm' Phi='0deg' Theta='0deg' Wb='1000mm'"
3,0.951914640306898,0.911281066485827,0.664536466015399,0.88692196266867
3.7767762353825,0.786252046449481,0.90430142223484,0.59542369938786,0.910433540780611
4.75467957738334,0.747518277413758,0.913668973804927,0.535025193294407,0.914675838029236
5.98578694490664,0.688820261108049,0.925491107983051,0.455986410889433,0.919218010062049
7.53565929452874,0.91690627545785,0.957983127048662,0.870102437297995,0.971878128183783
9.48683298050514,0.890838308385766,0.967644001898892,0.808818643155035,0.974470187064063
11.9432151166049,0.890013957139586,0.974058309548101,0.81034428943513,0.976449775785801
15.0356170088182,0.895411436238374,0.97778665810932,0.826092716427314,0.976758889675288
18.9287203344058,0.887458145090097,0.979320619993555,0.817123900169496,0.96978162736137
23.8298470417284,0.912954910891733,0.982232908978783,0.870443887137681,0.969634605451344
30,0.934278191782521,0.985088621237084,0.907054265828039,0.967766218232682
37.767762353825,0.950769361311076,0.986930713632712,0.925200417395259,0.962357512750987
47.5467957738334,0.962770430199118,0.987423269689314,0.931421050939283,0.956189962649728
59.8578694490664,0.970021474204695,0.987681030883623,0.935961618362986,0.952184369426635
75.3565929452874,0.9727219366423,0.986608228106179,0.93387968121479,0.939607938920191
94.8683298050514,0.973243950218764,0.984224819846934,0.926551632155493,0.919243299066737
119.432151166049,0.972862458286583,0.980798073510243,0.919776690538419,0.892130278534366
150.356170088182,0.972421655693898,0.976637167528918,0.905744458390335,0.860515000483931
189.287203344058,0.969606522299185,0.967535429555313,0.862886366816753,0.796446496642928
238.298470417284,0.965454937027646,0.955513001170994,0.810908701024293,0.708385485755309
300,0.952775070246282,0.932934946233982,0.698872027649978,0.551952764062835
