"Freq [MHz]","RadiationEfficiency [] - ferrite_pos_z='0mm' Phi='0deg' Theta='0deg' Wb='400mm'","RadiationEfficiency [] - ferrite_pos_z='0mm' Phi='0deg' Theta='0deg' Wb='1000mm'","RadiationEfficiency [] - ferrite_pos_z='1mm' Phi='0deg' Theta='0deg' Wb='400mm'","RadiationEfficiency [] - ferrite_pos_z='1mm' Phi='0deg' Theta='0deg' Wb='1000mm'"
30,0.00395358311740153,0.239867401436893,0.00274908418189996,0.0121970513265077
37.767762353825,0.00456415818856346,0.307961669278376,0.00136146147905901,0.0146591818992682
47.5467957738334,0.00643251716400704,0.333213347250087,0.000633316707660604,0.011641917606556
59.8578694490664,0.0124171820798036,0.330821816542536,0.000540758155839312,0.0088284768899678
75.3565929452874,0.0277280963083514,0.383226915260484,0.000662076482247944,0.0020382242638581
94.8683298050514,0.0547279014997573,0.522184671492514,0.000520901139138526,8.91747174276368E-005
119.432151166049,0.083603598388985,0.532795592413047,0.000269263570736427,9.28231317706506E-005
150.356170088182,0.121133736368101,0.475595400621913,0.000134217215136091,0.000128714207606965
189.287203344058,0.21483645454838,0.349591307957579,0.000118204406064216,0.000269651820938022
238.298470417284,0.358210019743108,0.243716882508326,7.56326174253978E-005,0.000499074164279548
300,0.384246390733024,0.151055022707308,0.000106967581100715,0.000694642854755431
