"Freq [MHz]","RadiationEfficiency [] - ferrite_pos_z='0mm' Phi='0deg' Theta='0deg' Wb='400mm'","RadiationEfficiency [] - ferrite_pos_z='0mm' Phi='0deg' Theta='0deg' Wb='1000mm'","RadiationEfficiency [] - ferrite_pos_z='1mm' Phi='0deg' Theta='0deg' Wb='400mm'","RadiationEfficiency [] - ferrite_pos_z='1mm' Phi='0deg' Theta='0deg' Wb='1000mm'"
3,0.975450713739908,0.963172603099118,0.529756782202903,0.915271029248615
3.7767762353825,0.918151620988008,0.958342589759277,0.920694883555254,0.989066103557713
4.75467957738334,0.966574057820143,0.969706794653683,0.592219768670014,0.976156929348465
5.98578694490664,0.896504800528112,0.969011264665525,0.834466309402648,0.98485350288867
7.53565929452874,0.913546869224352,0.977986976622528,0.909002672214419,0.988196073457873
9.48683298050514,0.893442231209227,0.982316733888862,0.848927511516489,0.981632602798038
11.9432151166049,0.894679342713401,0.985753322605378,0.873158259436854,0.978335975069837
15.0356170088182,0.907532692144872,0.987968868834713,0.921865273614536,0.979690703395832
18.9287203344058,0.910642989948269,0.988943260751148,0.933795603335335,0.972541027592956
23.8298470417284,0.921356926805212,0.990102487819722,0.930880348650918,0.967119141133989
30,0.927692832139835,0.989796010614479,0.86472692583853,0.932925314745327
37.767762353825,0.936750946760453,0.985801557006087,0.749084907411841,0.822188680788002
47.5467957738334,0.939295605798651,0.970674400622574,0.606094086082197,0.581449648692884
59.8578694490664,0.926715313161613,0.936459742796713,0.406679767504566,0.25309999513849
75.3565929452874,0.89904886082796,0.885613399603485,0.18270720070908,0.0952481613301919
94.8683298050514,0.863677556995656,0.828762003922495,0.0735066668242282,0.0548493047746895
119.432151166049,0.818517756148892,0.76936317873715,0.0383925343255013,0.0415041264362709
150.356170088182,0.763694911624533,0.703760635424556,0.025187296260176,0.0338180079859419
189.287203344058,0.712000825399053,0.634150976805535,0.019178940944854,0.0283779350250978
238.298470417284,0.658564821350641,0.560072110176991,0.0157431441540553,0.02383479164889
300,0.588478827608929,0.480689180160145,0.0135633198706826,0.0198980594965924
