"Freq [MHz]","dB(S(Port0,Port0)) [] - ferrite_pos_z='0mm' Wb='400mm'","dB(S(Port0,Port0)) [] - ferrite_pos_z='0mm' Wb='1000mm'","dB(S(Port0,Port0)) [] - ferrite_pos_z='1mm' Wb='400mm'","dB(S(Port0,Port0)) [] - ferrite_pos_z='1mm' Wb='1000mm'"
3,-0.00716826478839024,-0.199443495860432,-0.0309732595596058,-0.519886435155878
3.7767762353825,-0.0120775696088823,-0.350778728012589,-0.0284739060989935,-1.00230639877126
4.75467957738334,-0.0182426065624032,-0.668777751130358,-0.0726272368120276,-2.60601784872874
5.98578694490664,-0.0314287316132307,-1.4431980198802,-0.0859603253939708,-7.15543531144182
7.53565929452874,-0.0494218835795782,-3.28723837662702,-0.136195057700516,-10.7745738668364
9.48683298050514,-0.0819575109557527,-6.9801203453027,-0.268458482778942,-8.47822250946953
11.9432151166049,-0.135314307752876,-12.0586055672393,-0.537226632322337,-7.56961171908173
15.0356170088182,-0.229856236892295,-15.5793733071385,-1.29761597455239,-7.08743558612639
18.9287203344058,-0.4261758561003,-14.5473349907248,-4.22699730945938,-6.5713584650936
23.8298470417284,-0.890379326245464,-11.774660863857,-6.0414014126347,-7.16027548965646
30,-2.18790373982735,-9.77827658740842,-3.51159871982671,-10.916688398278
37.767762353825,-5.51179304729127,-9.00024230720542,-3.21194425592624,-9.62219966357124
47.5467957738334,-9.83609095128877,-9.27142629843894,-4.44487084133015,-9.36931181340756
59.8578694490664,-10.9206783591777,-10.1871340586797,-7.43160006401727,-11.8637361223172
75.3565929452874,-10.4103533968595,-11.7724117331101,-10.4879652043721,-11.2251727579581
94.8683298050514,-8.96810835637307,-13.5086221812449,-10.6385115203836,-11.0217648793399
119.432151166049,-8.13748599724073,-12.7601384133406,-10.6964153043691,-11.265233543979
150.356170088182,-9.53713155739578,-12.1648632230239,-11.155553305646,-11.5776118704631
189.287203344058,-14.3033882998451,-12.4503315596622,-11.5704247031098,-11.8485811981389
238.298470417284,-13.9121690994252,-12.3339750273778,-11.8191291311909,-11.979243380572
300,-12.3375526825223,-12.3181388784569,-11.8799916868351,-11.970921497893
