"Freq [MHz]","RadiationEfficiency [] - ferrite_pos_z='0mm' Phi='0deg' Theta='0deg' Wb='400mm'","RadiationEfficiency [] - ferrite_pos_z='0mm' Phi='0deg' Theta='0deg' Wb='1000mm'","RadiationEfficiency [] - ferrite_pos_z='1mm' Phi='0deg' Theta='0deg' Wb='400mm'","RadiationEfficiency [] - ferrite_pos_z='1mm' Phi='0deg' Theta='0deg' Wb='1000mm'"
30,0.999977982078468,1.00006481285499,0.999955822325725,1.00005789340255
37.767762353825,1.00041209788726,1.00047698193494,1.00043260964092,1.0005383610087
47.5467957738334,1.00111650720366,1.00115466910354,1.00120329126547,1.00133412129652
59.8578694490664,1.00226625556087,1.00227089289648,1.00245285371087,1.00263555398701
75.3565929452874,1.00412978189241,1.00405183331817,1.00446159296393,1.0046693886055
94.8683298050514,1.0070011376682,1.00680250939903,1.00753470510558,1.00775702757764
119.432151166049,1.0110067749226,1.0106049091871,1.01186986227669,1.01217917980314
150.356170088182,1.01733406895412,1.01616178993609,1.01870506468123,1.01854454208035
189.287203344058,1.02670598240668,1.02347054199386,1.02878500217448,1.02700686737081
238.298470417284,1.04011249906949,1.03203178303412,1.04306678155667,1.03734729822763
300,1.05850306249983,1.04174723096482,1.06277352370447,1.04979655005868
