"Freq [MHz]","dB(S(Port0,Port0)) [] - ferrite_pos_z='0mm' Wb='400mm'","dB(S(Port0,Port0)) [] - ferrite_pos_z='0mm' Wb='1000mm'","dB(S(Port0,Port0)) [] - ferrite_pos_z='1mm' Wb='400mm'","dB(S(Port0,Port0)) [] - ferrite_pos_z='1mm' Wb='1000mm'"
30,-3.67983175636877E-005,-0.00515568203216914,-3.67618800762044E-005,-0.00514497088096207
37.767762353825,-0.000100874346742435,-0.0189521441145524,-0.000100684358080096,-0.0190169928696344
47.5467957738334,-0.000340108878384031,-0.0865144270386125,-0.000339158626393261,-0.0873574317417865
59.8578694490664,-0.0013392711635713,-0.467047809349944,-0.00133435996009329,-0.472955474426689
75.3565929452874,-0.00522036530013613,-2.27942012808842,-0.00519689970797806,-2.28124021793126
94.8683298050514,-0.0206335944854376,-4.37174691453644,-0.0205281341907822,-4.39178316362311
119.432151166049,-0.0942795431058241,-4.40649291864931,-0.0938165358979794,-4.54061781721815
150.356170088182,-0.501714853342227,-6.7875814532477,-0.500494084629336,-7.06642313804471
189.287203344058,-2.73099880534622,-24.3829240211777,-2.73410424466161,-22.4074202990256
238.298470417284,-4.56127017196356,-7.13381975905058,-4.49445486311397,-7.28766882960144
300,-4.00799029008492,-12.3774696924681,-3.92780642826144,-12.6091981908537
