"Freq [MHz]","RadiationEfficiency [] - ferrite_pos_z='0mm' Phi='0deg' Theta='0deg' Wb='400mm'","RadiationEfficiency [] - ferrite_pos_z='0mm' Phi='0deg' Theta='0deg' Wb='1000mm'","RadiationEfficiency [] - ferrite_pos_z='1mm' Phi='0deg' Theta='0deg' Wb='400mm'","RadiationEfficiency [] - ferrite_pos_z='1mm' Phi='0deg' Theta='0deg' Wb='1000mm'"
3,-0.0711338215544686,-0.13191553901596,0.00159001232427813,0.00457615693245971
3.7767762353825,0.307304747733812,0.445979428234697,0.0192475119717169,0.0692708091015253
4.75467957738334,-0.0934107024995925,-0.194507589237455,0.00210617106134904,0.00771346775624499
5.98578694490664,0.103960913673963,0.19228354453969,0.00534351013422701,0.0278094715464387
7.53565929452874,0.231729747186913,0.406781032467708,0.014260501654828,0.0916395085761826
9.48683298050514,0.105975025030294,0.236004719552219,0.00591936537723766,0.0563565055295845
11.9432151166049,0.119776627659566,0.297174966046614,0.00727224694593768,0.108241683554902
15.0356170088182,0.193621059120664,0.482242738698211,0.0144768850289228,0.330910718842895
18.9287203344058,0.196110194007246,0.55509590549281,0.0186774367634856,0.54381184288165
23.8298470417284,0.209247544185319,0.65427747069292,0.0301672005900711,0.428992006275322
30,0.129028470135529,0.610391908689478,0.0305367240542434,0.15630913266168
37.767762353825,0.0730535965836576,0.564402826578324,0.0344318171481179,0.0574425558529135
47.5467957738334,0.0398911384865764,0.518932017672486,0.0377815414187135,0.0257016386088098
59.8578694490664,0.0288628945651421,0.496578337876982,0.0223464126699849,0.019823902782208
75.3565929452874,0.0344565355024291,0.478576884944712,0.00881504014021633,0.0277717941003001
94.8683298050514,0.0628603789701429,0.523712404880958,0.00557227311839664,0.0297060694489966
119.432151166049,0.134130103426009,0.617152949606111,0.00584120767186211,0.0151202704527787
150.356170088182,0.230811396502693,0.623904811390172,0.00876450129877785,0.00481659192192908
189.287203344058,0.300722982001419,0.558022625330655,0.0132456083246283,0.00183607710827393
238.298470417284,0.400741148222537,0.48471281169246,0.0128049916300982,0.00232168552608085
300,0.518102177955406,0.378469999611362,0.00784711415170666,0.00320125989005771
