"Freq [MHz]","RadiationEfficiency [] - ferrite_pos_z='0mm' Phi='0deg' Theta='0deg' Wb='400mm'","RadiationEfficiency [] - ferrite_pos_z='0mm' Phi='0deg' Theta='0deg' Wb='1000mm'","RadiationEfficiency [] - ferrite_pos_z='1mm' Phi='0deg' Theta='0deg' Wb='400mm'","RadiationEfficiency [] - ferrite_pos_z='1mm' Phi='0deg' Theta='0deg' Wb='1000mm'"
30,0.0119586808286698,0.416806338664314,0.00242903794788179,0.146703056066231
37.767762353825,0.00867923460755312,0.436562289956423,0.00307489549788558,0.0642308192695551
47.5467957738334,0.00715110148458382,0.472357176788845,0.00433449896719825,0.0362568631241932
59.8578694490664,0.00864871034460829,0.51467329743838,0.00676280052738698,0.033055283856549
75.3565929452874,0.0159507326380918,0.508463661577284,0.00718005493263102,0.0487259746626428
94.8683298050514,0.0411493579563272,0.530145677845848,0.0066742839546306,0.0573886199966899
119.432151166049,0.119467231448792,0.607160852776897,0.00863328254918515,0.03531999277548
150.356170088182,0.242042434986443,0.626184774932901,0.0146153919384828,0.0147955421549248
189.287203344058,0.325961039386829,0.559185917409902,0.0273149910198031,0.00494842449029348
238.298470417284,0.409145441214455,0.486975604095473,0.0339549574475568,0.00330327797988947
300,0.520863497579461,0.381013217567623,0.0265036756950107,0.00334347149226201
